no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  666.221858414         2      O3P1S8N3H61C19  -0.000238539440033      0:00:53.053000
  666.221858414         2        O5S13N5H76C2   -0.00029386466008      0:00:53.053000
  712.185078977        13         O4N21H18C28  -1.58000400461e-05      0:00:53.739000
  712.185078977        13      O13P4N14H40C12  -0.000105482739968      0:00:53.739000
  712.185078977        13     O4P3S1N4H166C25  -0.000813906400026      0:00:53.739000
  712.185078977        13      O3P6S3N1H56C26   -0.00027816362001      0:00:53.739000
  712.185078977        13      O6P2S6N6H181C8  -0.000869231619959      0:00:53.739000
  712.185078977        13       O5P5S8N3H71C9  -0.000333488840056      0:00:53.739000
  712.185078977        13         O2P1H156C41  -0.000783206960023      0:00:53.739000
  712.185078977        13     O3P9S1N11H55C12  -0.000219987360083      0:00:53.739000
  712.185078977        13    O13P1S4N12H45C11  -0.000130108520011      0:00:53.739000
  712.185078977        13       O4S5N2H171C24  -0.000838532179955      0:00:53.739000
  712.185078977        13      O5P2S12N1H76C8  -0.000358114619871      0:00:53.739000
  712.185078977        13          O6N1H538C5   -0.00264994784004      0:00:53.739000
  712.185078977        13        O1P7N7H45C28  -0.000189287919966      0:00:53.739000
  712.185078977        13        O10P11H67C12  -0.000278970620002      0:00:53.739000
  712.185078977        13       O5S1N15H280C9   -0.00131609869993      0:00:53.739000
  712.185078977        13      O21S1N4H167C10  -0.000724834559946      0:00:53.739000
  712.185078977        13       O4S2N29H22C13   1.77504400654e-05      0:00:53.739000
  712.185078977        13    O4P3S3N12H170C10  -0.000780355920028      0:00:53.739000
  712.185078977        13     O20P3S3N1H57C11   -0.00018909177993      0:00:53.739000
  712.185078977        13      O3P6S5N9H60C11  -0.000244613140012      0:00:53.739000
  712.185078977        13       O12P2N4H292C9   -0.00137508195996      0:00:53.739000
  712.185078977        13    O11P2S1N18H34C13  -4.12328199673e-05      0:00:53.739000
  712.185078977        13     O2P1S2N8H160C26  -0.000749656480025      0:00:53.739000
  712.185078977        13    O11P5S2N1H182C10  -0.000839339179947      0:00:53.739000
  712.185078977        13      O1P4S4N5H50C27  -0.000213913699895      0:00:53.739000
  712.185078977        13       O4S7N10H175C9  -0.000804981699957      0:00:53.739000
  712.185078977        13      O3P3S9N7H65C10  -0.000269238919941      0:00:53.739000
  712.185078977        13         O9N14H24C29  -1.05333799638e-05      0:00:53.739000
  712.185078977        13      O2P4N18H159C12  -0.000691480219984      0:00:53.739000
  712.185078977        13       O18P4N7H46C13      -0.00010021608      0:00:53.739000
  712.185078977        13      O2P7S1N1H307C9   -0.00148958658008      0:00:53.739000
  712.185078977        13     O1P7S2N15H49C13  -0.000155737439968      0:00:53.739000
  712.185078977        13      O1P1S8N3H55C26  -0.000238539479938      0:00:53.739000
  712.185078977        13        O3S13N5H70C9  -0.000293864699984      0:00:53.739000
  712.185078977        13      O8P9S1N4H61C13  -0.000214720700001      0:00:53.739000
  712.185078977        13      O3P1S3N2H422C7   -0.00204995514002      0:00:53.739000
  712.185078977        13    O2P1S4N16H164C11  -0.000716106000027      0:00:53.739000
  712.185078977        13     O18P1S4N5H51C12  -0.000124841859929      0:00:53.739000
  712.185078977        13     O1P4S6N13H54C12  -0.000180363220011      0:00:53.739000
  712.185078977        13          O6P7H51C29  -0.000184021259997      0:00:53.739000
